piso,code,name,unit,price,quantity,category
"Piso EMA","FF-1130","CEMENTO BLANCO",UNO,"2500",0,"FERRETERIA",
"Piso EMA","FF-1131","CAPACITOR 35 MICRO",UNO,"3800",0,"FERRETERIA",
"Piso EMA","FF-1132","CAPACITOR DE AIRE 30 MF",UNO,"4500",0,"FERRETERIA",
"Piso EMA","FF-1133","CORTINERO DE BANO",UNO,"3500",0,"FERRETERIA",
"Piso EMA","FF-1134","CUCHILLO",UNO,"1500",0,"FERRETERIA",
"Piso EMA","FF-1135","CABLE 10",m,"1300",260,"FERRETERIA",
"Piso EMA","FF-1136","CASCO PARA MOTO",UNO,"6000",0,"FERRETERIA",
"Piso EMA","FF-1137","DISCO DESBASTE",UNO,"900",10,"FERRETERIA",
"Piso EMA","FF-1138","DELCO PEGAMENTO PLASTICO EPOXI",UNO,"1300",7,"FERRETERIA",
"Piso EMA","FF-1140","DISCO CORTE",UNO,"250",6,"FERRETERIA",
"Piso EMA","FF-1141","DISCO MILOJA",UNO,"800",3,"FERRETERIA",
"Piso EMA","FF-1142","EMBUDO PLASTICO",UNO,"2500",9,"FERRETERIA",
"Piso EMA","FF-1143","CANDADO PEQUEÑO",UNO,"450",1,"FERRETERIA",
"Piso EMA","FF-1144","ESPAGUETI FINO",UNO,"300",0,"FERRETERIA",
"Piso EMA","FF-1145","EXTENSION 10M",UNO,"4500",1,"FERRETERIA",
"Piso EMA","FF-1146","ESPIGA CABLE",UNO,"350",0,"FERRETERIA",
"Piso EMA","FF-1147","EMBUDO METAL",UNO,"2500",0,"FERRETERIA",
"Piso EMA","FF-1148","CANDADO MEDIANO",UNO,"800",0,"FERRETERIA",
"Piso EMA","FF-1149","GAMUZA CHIQUITA",UNO,"4000",19,"FERRETERIA",
"Piso EMA","FF-1150","BARRENA  3MM",UNO,"350",16,"FERRETERIA",
"Piso EMA","FF-1151","GAMUZA GRANDE",UNO,"2500",0,"FERRETERIA",
"Piso EMA","FF-1153"," JUEGO CUBO METAL",UNO,"5000",3,"FERRETERIA",
"Piso EMA","FF-1154","LIJA",UNO,"150",639,"FERRETERIA",
"Piso EMA","FF-1155","LATIGUILLO METALICO",UNO,"900",0,"FERRETERIA",
"Piso EMA","FF-1156","LLAVE TALADRO",UNO,"900",5,"FERRETERIA",
"Piso EMA","FF-1158","LIJADORA",UNO,"21000",4,"FERRETERIA",
"Piso EMA","FF-1159","LLAVIN PUERTA ANTICOPIA",UNO,"6000",1,"FERRETERIA",
"Piso EMA","FF-1160","MASORCA TALADRO",UNO,"3800",2,"FERRETERIA",
"Piso EMA","FF-1161","BARRENA 6 MM",UNO,"450",2,"FERRETERIA",
"Piso EMA","FF-1162","MANILLA PUERTA CASA",UNO,"1200",2,"FERRETERIA",
"Piso EMA","FF-1163","TOMAREGLETA",UNO,"500",0,"FERRETERIA",
"Piso EMA","FF-1164","TEIPE",UNO,"350",0,"FERRETERIA",
"Piso EMA","FF-1165","BARRENA 3.16",UNO,"400",3,"FERRETERIA",
"Piso EMA","FF-1166","TORNILLO 6 mm",UNO,"150",192,"FERRETERIA",
"Piso EMA","FF-1167","BARRENA 4 mm",UNO,"400",18,"FERRETERIA",
"Piso EMA","FF-1168","TOMACORRIENTE DOBLE FABRICA 15A",UNO,"1400",41,"FERRETERIA",
"Piso EMA","FF-1169","TORNILLO- 5",UNO,"100",0,"FERRETERIA",
"Piso EMA","FF-1171","PRECINTA TRASPARENTE",UNO,"900",1,"FERRETERIA",
"Piso EMA","FF-1172","BARRENA 5 MM",UNO,"400",12,"FERRETERIA",
"Piso EMA","FF-1173","PRECINTA AIRE",UNO,"1500",0,"FERRETERIA",
"Piso EMA","FF-1174","PELO CEGUETA",UNO,"300",19,"FERRETERIA",
"Piso EMA","FF-1175","PRESILLA GAS MEDIANA",UNO,"150",11,"FERRETERIA",
"Piso EMA","FF-1176","PRESILLA CHIQUITA",UNO,"120",2,"FERRETERIA",
"Piso EMA","FF-1177","PLASTICOLA",UNO,"1800",10,"FERRETERIA",
"Piso EMA","FF-1178","PICAPORTE",UNO,"3800",0,"FERRETERIA",
"Piso EMA","FF-1179","PEGA BAJE",UNO,"3500",0,"FERRETERIA",
"Piso EMA","FF-1180","PRESILLA METAL GRANDE",UNO,"400",20,"FERRETERIA",
"Piso EMA","FF-1181","PEGA PLASTICO ACRILICO",UNO,"120",0,"FERRETERIA",
"Piso EMA","FF-1182","PRECINTA DE NYLON",UNO,"1200",6,"FERRETERIA",
"Piso EMA","FF-1183","BRIDA 3.6 X 150MM",UNO,"20",452,"FERRETERIA",
"Piso EMA","FF-1184","CORRECTOR DE COLORES",UNO,"25",130,"FERRETERIA",
"Piso EMA","FF-1185","PIEDRA  ESMERIL",UNO,"3500",0,"FERRETERIA",
"Piso EMA","FF-1186","PRECINTA GRIS",UNO,"1500",0,"FERRETERIA",
